case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
LoraWAN 1 gateways,0.1,45,0,199,200000,43,756,9.2,1155,0,711,45,7,0,0,0,6.86239
LoraWAN 2 gateways,0.1,283,2,199,200000,43,756,40.8889,1155,0,756,285,7,-285,0,0,1.75086
LoraWAN 3 gateways,0.1,476,2,199,200000,43,756,40.8889,1155,0,756,478,7,-478,0,0,1.75086
Multihop 1 gateways,0.2,1200,67,199,200000,43,1443,218.6,1155,44,0,1267,7,3,129,0.991937,2.19112
LoraWAN 1 gateways,0.2,89,0,199,200000,43,1429,9.2,1155,0,1340,89,7,0,0,0,7.11923
LoraWAN 2 gateways,0.2,470,7,199,200000,43,1429,40.8889,1155,0,1429,477,7,-477,0,0,1.81864
LoraWAN 3 gateways,0.2,865,12,199,200000,43,1429,40.8889,1155,0,1429,877,7,-877,0,0,1.81864
Multihop 1 gateways,0.3,1506,208,199,200000,43,2053,218.6,1155,98,0,1714,7,13,228,0.980871,2.3611
LoraWAN 1 gateways,0.3,119,0,199,200000,43,2010,9.2,1155,0,1891,119,7,0,0,0,7.37324
LoraWAN 2 gateways,0.3,677,25,199,200000,43,2010,40.8889,1155,0,2010,703,7,-702,0,0,1.88368
LoraWAN 3 gateways,0.3,1247,12,199,200000,43,2010,40.8889,1155,0,2010,1260,7,-1259,0,0,1.88368
Multihop 1 gateways,0.4,1986,74,199,200000,43,2621,218.6,1155,163,0,2060,7,20,378,0.984897,2.52001
LoraWAN 1 gateways,0.4,144,2,199,200000,43,2522,9.2,1155,0,2376,146,7,0,0,0,7.60731
LoraWAN 2 gateways,0.4,868,20,199,200000,43,2522,40.8889,1155,0,2522,888,7,-888,0,0,1.94163
LoraWAN 3 gateways,0.4,1537,37,199,200000,43,2522,40.8889,1155,0,2522,1574,7,-1574,0,0,1.94163
Multihop 1 gateways,0.5,2265,159,199,200000,43,3133,218.6,1155,172,0,2425,7,12,525,0.950288,2.63845
LoraWAN 1 gateways,0.5,145,0,199,200000,43,2933,9.2,1155,0,2788,145,7,0,0,0,7.78702
LoraWAN 2 gateways,0.5,958,21,199,200000,43,2933,40.8889,1155,0,2933,979,7,-979,0,0,1.98658
LoraWAN 3 gateways,0.5,1772,24,199,200000,43,2933,40.8889,1155,0,2933,1797,7,-1796,0,0,1.98658
Multihop 1 gateways,0.6,2469,177,199,200000,43,3569,218.6,1155,259,0,2647,7,33,631,0.946683,2.74728
LoraWAN 1 gateways,0.6,197,0,199,200000,43,3300,9.2,1155,0,3103,197,7,0,0,0,7.94958
LoraWAN 2 gateways,0.6,1139,23,199,200000,43,3300,40.8889,1155,0,3300,1162,7,-1162,0,0,2.03057
LoraWAN 3 gateways,0.6,1981,59,199,200000,43,3300,40.8889,1155,0,3300,2040,7,-2040,0,0,2.03057
Multihop 1 gateways,0.7,2355,490,199,200000,43,3978,218.6,1155,321,0,2846,7,14,798,0.951967,2.82695
LoraWAN 1 gateways,0.7,192,2,199,200000,43,3579,9.2,1155,0,3384,194,7,1,0,0,8.06045
LoraWAN 2 gateways,0.7,1228,24,199,200000,43,3579,40.8889,1155,0,3578,1252,7,-1251,0,0,2.05669
LoraWAN 3 gateways,0.7,2149,51,199,200000,43,3579,40.8889,1155,0,3578,2200,7,-2199,0,0,2.05669
Multihop 1 gateways,0.8,2854,213,199,200000,43,4360,218.6,1155,381,0,3067,7,24,888,0.94931,2.92769
LoraWAN 1 gateways,0.8,211,2,199,200000,43,3885,9.2,1155,0,3672,213,7,0,0,0,8.1706
LoraWAN 2 gateways,0.8,1317,35,199,200000,43,3885,40.8889,1155,0,3885,1353,7,-1352,0,0,2.08581
LoraWAN 3 gateways,0.8,2351,56,199,200000,43,3885,40.8889,1155,0,3885,2409,7,-2407,0,0,2.08581
Multihop 1 gateways,0.9,2731,522,199,200000,43,4736,218.6,1155,460,0,3253,7,23,1000,0.933565,2.99643
LoraWAN 1 gateways,0.9,228,0,199,200000,43,4145,9.2,1155,0,3917,228,7,0,0,0,8.30121
LoraWAN 2 gateways,0.9,1388,28,199,200000,43,4145,40.8889,1155,0,4145,1416,7,-1416,0,0,2.11863
LoraWAN 3 gateways,0.9,2485,75,199,200000,43,4145,40.8889,1155,0,4145,2560,7,-2560,0,0,2.11863
Multihop 1 gateways,1,3103,306,199,200000,43,5049,218.6,1155,511,0,3409,7,16,1113,0.935478,3.05759
LoraWAN 1 gateways,1,245,0,199,200000,43,4360,9.2,1155,0,4115,245,7,0,0,0,8.39454
LoraWAN 2 gateways,1,1473,44,199,200000,43,4360,40.8889,1155,0,4360,1517,7,-1517,0,0,2.14304
LoraWAN 3 gateways,1,2633,60,199,200000,43,4360,40.8889,1155,0,4360,2693,7,-2693,0,0,2.14304
Multihop 1 gateways,0.1,686,14,199,200000,43,756,218.6,1155,19,0,700,7,1,36,0.998077,1.80938
LoraWAN 1 gateways,0.1,54,0,199,200000,43,756,9.2,1155,0,702,54,7,0,0,0,6.37728
LoraWAN 2 gateways,0.1,284,0,199,200000,43,756,40.25,1155,0,756,284,7,-284,0,0,7.62173
LoraWAN 3 gateways,0.1,425,3,199,200000,43,756,41.4,1155,0,756,428,7,-428,0,0,1.65561
Multihop 1 gateways,0.2,1147,108,199,200000,43,1441,218.6,1155,58,0,1256,7,0,128,0.994943,2.01844
LoraWAN 1 gateways,0.2,104,0,199,200000,43,1429,9.2,1155,0,1325,104,7,0,0,0,6.6265
LoraWAN 2 gateways,0.2,558,1,199,200000,43,1429,40.25,1155,0,1429,559,7,-559,0,0,7.91923
LoraWAN 3 gateways,0.2,818,10,199,200000,43,1429,41.4,1155,0,1429,828,7,-828,0,0,1.72163
Multihop 1 gateways,0.3,1589,109,199,200000,43,2050,218.6,1155,96,0,1698,7,4,252,0.969579,2.17882
LoraWAN 1 gateways,0.3,132,2,199,200000,43,2010,9.2,1155,0,1876,134,7,0,0,0,6.86977
LoraWAN 2 gateways,0.3,760,7,199,200000,43,2010,40.25,1155,0,2010,768,7,-767,0,0,8.21027
LoraWAN 3 gateways,0.3,1150,13,199,200000,43,2010,41.4,1155,0,2010,1165,7,-1163,0,0,1.78366
Multihop 1 gateways,0.4,1939,192,199,200000,43,2642,218.6,1155,135,0,2131,7,9,367,0.989726,2.32895
LoraWAN 1 gateways,0.4,166,0,199,200000,43,2522,9.2,1155,0,2356,166,7,0,0,0,7.09709
LoraWAN 2 gateways,0.4,978,9,199,200000,43,2522,40.25,1155,0,2522,987,7,-987,0,0,8.48222
LoraWAN 3 gateways,0.4,1464,29,199,200000,43,2522,41.4,1155,0,2522,1493,7,-1493,0,0,1.84163
Multihop 1 gateways,0.5,2137,250,199,200000,43,3127,218.6,1155,231,0,2389,7,12,497,0.957081,2.44632
LoraWAN 1 gateways,0.5,185,0,199,200000,43,2933,9.2,1155,0,2748,185,7,0,0,0,7.24493
LoraWAN 2 gateways,0.5,1077,30,199,200000,43,2933,40.25,1155,0,2933,1107,7,-1107,0,0,8.65842
LoraWAN 3 gateways,0.5,1658,39,199,200000,43,2933,41.4,1155,0,2933,1698,7,-1697,0,0,1.88188
Multihop 1 gateways,0.6,2369,289,199,200000,43,3589,218.6,1155,267,0,2659,7,10,654,0.964236,2.55671
LoraWAN 1 gateways,0.6,225,4,199,200000,43,3300,9.2,1155,0,3071,229,7,0,0,0,7.39165
LoraWAN 2 gateways,0.6,1235,19,199,200000,43,3300,40.25,1155,0,3300,1254,7,-1254,0,0,8.83389
LoraWAN 3 gateways,0.6,1871,42,199,200000,43,3300,41.4,1155,0,3300,1913,7,-1913,0,0,1.91952
Multihop 1 gateways,0.7,2640,245,199,200000,43,3956,218.6,1155,349,0,2886,7,-1,723,0.918863,2.64808
LoraWAN 1 gateways,0.7,230,0,199,200000,43,3579,9.2,1155,0,3348,230,7,1,0,0,7.52346
LoraWAN 2 gateways,0.7,1348,30,199,200000,43,3579,40.25,1155,0,3578,1378,7,-1377,0,0,8.99168
LoraWAN 3 gateways,0.7,2053,42,199,200000,43,3579,41.4,1155,0,3578,2095,7,-2094,0,0,1.95275
Multihop 1 gateways,0.8,2833,239,199,200000,43,4386,218.6,1155,386,0,3072,7,24,904,0.958422,2.73772
LoraWAN 1 gateways,0.8,252,2,199,200000,43,3885,9.2,1155,0,3631,254,7,0,0,0,7.64272
LoraWAN 2 gateways,0.8,1475,26,199,200000,43,3885,40.25,1155,0,3885,1501,7,-1501,0,0,9.13423
LoraWAN 3 gateways,0.8,2199,53,199,200000,43,3885,41.4,1155,0,3885,2253,7,-2252,0,0,1.98367
Multihop 1 gateways,0.9,2658,615,199,200000,43,4747,218.6,1155,398,0,3275,7,9,1067,0.93026,2.80903
LoraWAN 1 gateways,0.9,257,4,199,200000,43,4145,9.2,1155,0,3884,261,7,0,0,0,7.74391
LoraWAN 2 gateways,0.9,1556,33,199,200000,43,4145,40.25,1155,0,4145,1589,7,-1589,0,0,9.25527
LoraWAN 3 gateways,0.9,2298,72,199,200000,43,4145,41.4,1155,0,4145,2370,7,-2370,0,0,2.00953
Multihop 1 gateways,1,2937,457,199,200000,43,5099,218.6,1155,485,0,3395,7,13,1207,0.934115,2.87149
LoraWAN 1 gateways,1,282,0,199,200000,43,4360,9.2,1155,0,4078,282,7,0,0,0,7.80883
LoraWAN 2 gateways,1,1628,35,199,200000,43,4360,40.25,1155,0,4360,1663,7,-1663,0,0,9.33269
LoraWAN 3 gateways,1,2433,70,199,200000,43,4360,41.4,1155,0,4360,2503,7,-2503,0,0,2.02702
Multihop 1 gateways,0.1,677,20,199,200000,43,755,218.6,1155,20,0,697,7,0,38,0.986364,1.54757
LoraWAN 1 gateways,0.1,42,0,199,200000,43,756,9.2,1155,0,714,42,7,0,0,0,5.93888
LoraWAN 2 gateways,0.1,308,4,199,200000,43,756,40.8889,1155,0,756,312,7,-312,0,0,1.29784
LoraWAN 3 gateways,0.1,394,2,199,200000,43,756,40.25,1155,0,756,396,7,-396,0,0,6.89893
