case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
LoraWAN 2 gateways,0.9,11611,483,180,1000000,215,18474,534106,1155,0,18474,12095,7,-12094,0,0
LoraWAN 3 gateways,0.9,14854,528,180,1000000,215,18474,683284,1155,0,18474,15307,7,-15382,0,0
Multihop 1 gateways,1,17031,3512,180,1000000,215,21445,1751032,1155,279,0,20543,7,45,578,0.994442
LoraWAN 1 gateways,1,5052,258,180,1000000,215,19493,232392,1155,0,14183,5310,7,0,0,0
LoraWAN 2 gateways,1,12242,492,180,1000000,215,19493,563132,1155,0,19493,12735,7,-12734,0,0
LoraWAN 3 gateways,1,15604,607,180,1000000,215,19493,717784,1155,0,19493,16109,7,-16211,0,0
Multihop 1 gateways,0.1,3338,131,180,1000000,215,3514,368781,1155,21,0,3470,7,3,21,0.999671
LoraWAN 1 gateways,0.1,977,18,180,1000000,215,3511,44942,1155,0,2516,995,7,0,0,0
LoraWAN 2 gateways,0.1,2644,22,180,1000000,215,3511,121624,1155,0,3511,2666,7,-2666,0,0
LoraWAN 3 gateways,0.1,3430,43,180,1000000,215,3511,157780,1155,0,3511,3471,7,-3473,0,0
Multihop 1 gateways,0.2,6030,397,180,1000000,215,6555,657461,1155,45,0,6427,7,3,80,0.999268
LoraWAN 1 gateways,0.2,1862,29,180,1000000,215,6496,85652,1155,0,4604,1892,7,1,0,0
LoraWAN 2 gateways,0.2,4704,75,180,1000000,215,6496,216384,1155,0,6496,4780,7,-4779,0,0
LoraWAN 3 gateways,0.2,6308,108,180,1000000,215,6496,290168,1155,0,6496,6414,7,-6416,0,0
Multihop 1 gateways,0.3,8202,680,180,1000000,215,9159,898104,1155,91,0,8883,7,15,171,0.997943
LoraWAN 1 gateways,0.3,2421,56,180,1000000,215,8968,111366,1155,0,6491,2477,7,0,0,0
LoraWAN 2 gateways,0.3,6486,162,180,1000000,215,8968,298356,1155,0,8968,6648,7,-6648,0,0
LoraWAN 3 gateways,0.3,8657,207,180,1000000,215,8968,398222,1155,0,8968,8863,7,-8864,0,0
Multihop 1 gateways,0.4,9833,1259,180,1000000,215,11494,1080596,1155,146,0,11092,7,20,236,0.998776
LoraWAN 1 gateways,0.4,3090,85,180,1000000,215,11137,142140,1155,0,7962,3175,7,0,0,0
LoraWAN 2 gateways,0.4,7975,270,180,1000000,215,11137,366850,1155,0,11137,8245,7,-8245,0,0
LoraWAN 3 gateways,0.4,10703,318,180,1000000,215,11137,492338,1155,0,11137,11016,7,-11021,0,0
Multihop 1 gateways,0.5,11613,1397,180,1000000,215,13573,1255820,1155,181,0,13010,7,18,364,0.998438
LoraWAN 1 gateways,0.5,3512,159,180,1000000,215,12995,161552,1155,0,9324,3671,7,0,0,0
LoraWAN 2 gateways,0.5,9253,349,180,1000000,215,12995,425638,1155,0,12995,9602,7,-9602,0,0
LoraWAN 3 gateways,0.5,12401,451,180,1000000,215,12995,570446,1155,0,12995,12844,7,-12852,0,0
Multihop 1 gateways,0.6,12907,1756,180,1000000,215,15402,1388878,1155,250,0,14664,7,19,470,0.998276
LoraWAN 1 gateways,0.6,4036,129,180,1000000,215,14613,185656,1155,0,10448,4165,7,0,0,0
LoraWAN 2 gateways,0.6,10449,462,180,1000000,215,14613,480654,1155,0,14613,10911,7,-10911,0,0
LoraWAN 3 gateways,0.6,13840,630,180,1000000,215,14613,636640,1155,0,14613,14458,7,-14470,0,0
Multihop 1 gateways,0.7,14036,2173,180,1000000,215,17070,1509424,1155,247,0,16210,7,36,578,0.997921
LoraWAN 1 gateways,0.7,4311,205,180,1000000,215,16010,198306,1155,0,11494,4516,7,0,0,0
LoraWAN 2 gateways,0.7,11458,519,180,1000000,215,16010,527068,1155,0,16010,11977,7,-11977,0,0
LoraWAN 3 gateways,0.7,15119,727,180,1000000,215,16010,695474,1155,0,16010,15837,7,-15846,0,0
Multihop 1 gateways,0.8,15073,2596,180,1000000,215,18695,1609515,1155,320,0,17670,7,41,665,0.997822
LoraWAN 1 gateways,0.8,4669,200,180,1000000,215,17340,214774,1155,0,12471,4869,7,0,0,0
LoraWAN 2 gateways,0.8,12242,658,180,1000000,215,17340,563132,1155,0,17340,12900,7,-12900,0,0
LoraWAN 3 gateways,0.8,16364,775,180,1000000,215,17340,752744,1155,0,17340,17137,7,-17139,0,0
Multihop 1 gateways,0.9,15813,3118,180,1000000,215,20170,1684498,1155,428,0,18932,7,37,774,0.997061
LoraWAN 1 gateways,0.9,5009,235,180,1000000,215,18474,230414,1155,0,13230,5244,7,0,0,0
LoraWAN 2 gateways,0.9,12938,820,180,1000000,215,18474,595148,1155,0,18474,13759,7,-13758,0,0
LoraWAN 3 gateways,0.9,17335,958,180,1000000,215,18474,797410,1155,0,18474,18276,7,-18293,0,0
Multihop 1 gateways,1,16255,3852,180,1000000,215,21503,1722418,1155,540,0,20109,7,51,805,0.997786
LoraWAN 1 gateways,1,5270,301,180,1000000,215,19493,242420,1155,0,13922,5571,7,0,0,0
LoraWAN 2 gateways,1,13681,840,180,1000000,215,19493,629326,1155,0,19493,14523,7,-14521,0,0
LoraWAN 3 gateways,1,18161,1127,180,1000000,215,19493,835406,1155,0,19493,19275,7,-19288,0,0
Multihop 1 gateways,0.1,3391,94,180,1000000,215,3516,369560,1155,9,0,3485,7,3,19,0.999931
LoraWAN 1 gateways,0.1,1115,16,180,1000000,215,3511,51290,1155,0,2380,1131,7,0,0,0
LoraWAN 2 gateways,0.1,1978,18,180,1000000,215,3511,90988,1155,0,3511,1996,7,-1996,0,0
LoraWAN 3 gateways,0.1,3371,27,180,1000000,215,3511,155066,1155,0,3511,3392,7,-3398,0,0
Multihop 1 gateways,0.2,6096,361,180,1000000,215,6553,675047,1155,15,0,6457,7,8,73,0.999712
LoraWAN 1 gateways,0.2,2061,46,180,1000000,215,6496,94806,1155,0,4389,2107,7,0,0,0
LoraWAN 2 gateways,0.2,3564,41,180,1000000,215,6496,163944,1155,0,6496,3606,7,-3605,0,0
LoraWAN 3 gateways,0.2,6224,71,180,1000000,215,6496,286304,1155,0,6496,6285,7,-6295,0,0
Multihop 1 gateways,0.3,8307,618,180,1000000,215,9151,912903,1155,55,0,8926,7,17,154,0.999439
