case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge
LoraWAN 2 gateways,0.8,6595,173,90,1000000,215,8677,303370,46,0,8677,6769
LoraWAN 3 gateways,0.8,7499,134,90,1000000,215,8677,344954,46,0,8677,7634
Multihop 1 gateways,0.9,8880,863,90,1000000,215,10060,898948,231,521,0,9743
LoraWAN 1 gateways,0.9,3183,118,90,1000000,215,9263,146418,46,0,5962,3301
LoraWAN 2 gateways,0.9,7022,181,90,1000000,215,9263,323012,46,0,9263,7203
LoraWAN 3 gateways,0.9,7980,154,90,1000000,215,9263,367080,46,0,9263,8134
Multihop 1 gateways,1,9430,945,90,1000000,215,10724,954450,231,625,0,10374
LoraWAN 1 gateways,1,3333,112,90,1000000,215,9792,153318,46,0,6347,3445
LoraWAN 2 gateways,1,7406,209,90,1000000,215,9792,340676,46,0,9792,7615
LoraWAN 3 gateways,1,8423,178,90,1000000,215,9792,387458,46,0,9792,8601
Multihop 1 gateways,0.1,1706,22,90,1000000,215,1740,196076,185,21,0,1728
LoraWAN 1 gateways,0.1,590,0,90,1000000,215,1739,27140,46,0,1149,590
LoraWAN 2 gateways,0.1,1366,8,90,1000000,215,1739,62836,46,0,1739,1374
LoraWAN 3 gateways,0.1,1567,4,90,1000000,215,1739,72082,46,0,1739,1570
Multihop 1 gateways,0.2,3161,93,90,1000000,215,3289,357758,185,116,0,3254
LoraWAN 1 gateways,0.2,1172,8,90,1000000,215,3264,53912,46,0,2084,1180
LoraWAN 2 gateways,0.2,2665,17,90,1000000,215,3264,122590,46,0,3264,2682
LoraWAN 3 gateways,0.2,2979,39,90,1000000,215,3264,137034,46,0,3264,3001
Multihop 1 gateways,0.3,4364,132,90,1000000,215,4571,488808,185,173,0,4497
LoraWAN 1 gateways,0.3,1568,10,90,1000000,215,4475,72128,46,0,2897,1578
LoraWAN 2 gateways,0.3,3599,29,90,1000000,215,4475,165554,46,0,4475,3628
LoraWAN 3 gateways,0.3,4053,64,90,1000000,215,4475,186438,46,0,4475,4096
Multihop 1 gateways,0.4,5389,219,90,1000000,215,5757,603046,185,226,0,5608
LoraWAN 1 gateways,0.4,1951,50,90,1000000,215,5587,89746,46,0,3586,2001
LoraWAN 2 gateways,0.4,4486,50,90,1000000,215,5587,206356,46,0,5587,4536
LoraWAN 3 gateways,0.4,5009,111,90,1000000,215,5587,230414,46,0,5587,5078
Multihop 1 gateways,0.5,6352,279,90,1000000,215,6793,706200,185,245,0,6632
LoraWAN 1 gateways,0.5,2258,55,90,1000000,215,6526,103868,46,0,4213,2313
LoraWAN 2 gateways,0.5,5208,64,90,1000000,215,6526,239568,46,0,6526,5272
LoraWAN 3 gateways,0.5,5859,105,90,1000000,215,6526,269514,46,0,6526,5926
Multihop 1 gateways,0.6,7117,370,90,1000000,215,7770,789075,185,407,0,7487
LoraWAN 1 gateways,0.6,2592,61,90,1000000,215,7361,119232,46,0,4708,2653
LoraWAN 2 gateways,0.6,5874,91,90,1000000,215,7361,270204,46,0,7361,5965
LoraWAN 3 gateways,0.6,6589,153,90,1000000,215,7361,303094,46,0,7361,6691
Multihop 1 gateways,0.7,7735,568,90,1000000,215,8617,851354,185,453,0,8303
LoraWAN 1 gateways,0.7,2758,82,90,1000000,215,8035,126868,46,0,5194,2840
LoraWAN 2 gateways,0.7,6388,93,90,1000000,215,8035,293848,46,0,8034,6481
LoraWAN 3 gateways,0.7,7197,158,90,1000000,215,8035,331062,46,0,8034,7315
Multihop 1 gateways,0.8,8400,617,90,1000000,215,9385,926296,185,591,0,9018
LoraWAN 1 gateways,0.8,2965,126,90,1000000,215,8677,136390,46,0,5586,3091
LoraWAN 2 gateways,0.8,6901,152,90,1000000,215,8677,317446,46,0,8677,7054
LoraWAN 3 gateways,0.8,7768,192,90,1000000,215,8677,357328,46,0,8677,7904
Multihop 1 gateways,0.9,8936,750,90,1000000,215,10081,980352,185,654,0,9686
LoraWAN 1 gateways,0.9,3177,98,90,1000000,215,9263,146142,46,0,5988,3275
LoraWAN 2 gateways,0.9,7347,138,90,1000000,215,9263,337962,46,0,9263,7485
LoraWAN 3 gateways,0.9,8254,243,90,1000000,215,9263,379684,46,0,9263,8425
