case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay
LoraWAN 2 gateways,0.8,21859,38463,200,2000000,431.63,38465,1027373,492.428
LoraWAN 3 gateways,0.8,28532,38463,200,2000000,431.63,38465,1341004,492.428
Multihop 1 gateways,0.9,6830,20789,200,2000000,61.6614,27619,1113853,492.428
LoraWAN 1 gateways,0.9,3540,37415,200,2000000,431.63,40958,166380,492.428
LoraWAN 2 gateways,0.9,24273,40955,200,2000000,431.63,40958,1140831,492.428
LoraWAN 3 gateways,0.9,28351,40955,200,2000000,431.63,40958,1332497,492.428
Multihop 1 gateways,1,5368,20896,200,2000000,43.163,26264,1095805,492.428
LoraWAN 1 gateways,1,3116,40045,200,2000000,431.63,43162,146452,492.428
LoraWAN 2 gateways,1,19009,43161,200,2000000,431.63,43162,893423,492.428
LoraWAN 3 gateways,1,40450,43161,200,2000000,431.63,43162,1901150,492.428
Multihop 1 gateways,0.1,981,3022,200,2000000,61.6614,4003,165910,492.428
LoraWAN 1 gateways,0.1,475,7355,200,2000000,431.63,7830,22325,492.428
LoraWAN 2 gateways,0.1,5912,7830,200,2000000,431.63,7830,277864,492.428
LoraWAN 3 gateways,0.1,5608,7830,200,2000000,431.63,7830,263576,492.428
Multihop 1 gateways,0.2,1692,4737,200,2000000,53.9537,6430,259863,492.428
LoraWAN 1 gateways,0.2,1479,12924,200,2000000,431.63,14403,69513,492.428
LoraWAN 2 gateways,0.2,7809,14403,200,2000000,431.63,14403,367023,492.428
LoraWAN 3 gateways,0.2,11795,14403,200,2000000,431.63,14403,554365,492.428
Multihop 1 gateways,0.3,3251,8784,200,2000000,71.9383,12035,495850,492.428
LoraWAN 1 gateways,0.3,2042,17937,200,2000000,431.63,19979,95974,492.428
LoraWAN 2 gateways,0.3,12999,19979,200,2000000,431.63,19979,610953,492.428
LoraWAN 3 gateways,0.3,18319,19979,200,2000000,431.63,19979,860993,492.428
Multihop 1 gateways,0.4,3909,8848,200,2000000,61.6614,12757,559441,492.428
LoraWAN 1 gateways,0.4,2168,22613,200,2000000,431.63,24781,101896,492.428
LoraWAN 2 gateways,0.4,8285,24781,200,2000000,431.63,24781,389395,492.428
LoraWAN 3 gateways,0.4,23908,24781,200,2000000,431.63,24781,1123676,492.428
Multihop 1 gateways,0.5,5316,16451,200,2000000,86.326,21767,836083,492.428
LoraWAN 1 gateways,0.5,3604,25346,200,2000000,431.63,28950,169388,492.428
LoraWAN 2 gateways,0.5,17889,28950,200,2000000,431.63,28950,840783,492.428
LoraWAN 3 gateways,0.5,22316,28950,200,2000000,431.63,28950,1048852,492.428
Multihop 1 gateways,0.6,5914,13472,200,2000000,71.9383,19386,802055,492.428
LoraWAN 1 gateways,0.6,2471,30081,200,2000000,431.63,32552,116137,492.428
LoraWAN 2 gateways,0.6,13506,32552,200,2000000,431.63,32552,634782,492.428
LoraWAN 3 gateways,0.6,31048,32552,200,2000000,431.63,32552,1459256,492.428
Multihop 1 gateways,0.7,7339,19610,200,2000000,86.326,26950,1052283,492.428
LoraWAN 1 gateways,0.7,3009,32611,200,2000000,431.63,35620,141423,492.428
LoraWAN 2 gateways,0.7,12563,35620,200,2000000,431.63,35620,590461,492.428
LoraWAN 3 gateways,0.7,31730,35620,200,2000000,431.63,35620,1491310,492.428
Multihop 1 gateways,0.8,8332,21668,200,2000000,86.326,30001,1231682,492.428
LoraWAN 1 gateways,0.8,3281,35182,200,2000000,431.63,38465,154207,492.428
LoraWAN 2 gateways,0.8,20977,38463,200,2000000,431.63,38465,985919,492.428
LoraWAN 3 gateways,0.8,29989,38463,200,2000000,431.63,38465,1409483,492.428
Multihop 1 gateways,0.9,5276,20175,200,2000000,47.9589,25451,1032778,492.428
LoraWAN 1 gateways,0.9,3837,37118,200,2000000,431.63,40958,180339,492.428
LoraWAN 2 gateways,0.9,23228,40955,200,2000000,431.63,40958,1091716,492.428
